,visibility,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,weather.id,weather.main,weather.description,city_name,sys.type,sys.id,rain.1h
809,10000.0,124.6764,6.6925,26.13,26.13,26.13,26.13,1008.0,88.0,1008.0,1002.0,0.9,67.0,1.51,96.0,502.0,Rain,heavy intensity rain,Tacurong,1.4955972752948994,1015018.9393586975,9.99
810,10000.0,120.9337,14.1059,24.77,25.37,24.75,25.87,1011.0,79.0,1011.0,939.0,4.09,72.0,10.29,90.0,804.0,Clouds,overcast clouds,Tagaytay City,2.0,2084056.0,2.3390538143110584
811,10000.0,121.0792,14.5243,29.57,34.68,28.92,30.04,1011.0,73.0,1011.5388596412956,1003.3290800392612,3.58,86.0,4.02,20.0,801.0,Clouds,few clouds,Taguig,2.0,2083945.0,2.3390538143110584
812,10000.0,122.9226,14.1343,26.73,29.89,26.73,26.73,1011.0,89.0,1011.0,1010.0,4.9,46.0,7.69,98.0,804.0,Clouds,overcast clouds,Talisay,1.4955972752948994,1015018.9393586975,2.3390538143110584
813,10000.0,121.1498,14.0863,27.98,32.52,27.96,29.08,1011.0,83.0,1011.0,994.0,3.37,62.0,8.54,97.0,804.0,Clouds,overcast clouds,Tanauan,2.0,2084056.0,2.3390538143110584
814,10000.0,126.1986,9.0783,27.55,31.52,27.55,27.55,1009.0,84.0,1009.0,1008.0,2.83,357.0,4.16,100.0,804.0,Clouds,overcast clouds,Tandag,1.4955972752948994,1015018.9393586975,2.3390538143110584
815,10000.0,122.9306,10.6339,27.76,31.93,27.76,27.76,1009.0,83.0,1009.0,1008.0,5.0,34.0,7.26,90.0,500.0,Rain,light rain,Tangub,1.4955972752948994,1015018.9393586975,0.22
816,10000.0,123.1583,9.5153,28.01,32.12,28.01,28.01,1009.0,80.0,1009.0,1008.0,1.57,30.0,2.56,100.0,804.0,Clouds,overcast clouds,Tanjay,1.0,8185.0,2.3390538143110584
817,10000.0,120.5986,15.4889,29.6,34.53,29.6,29.6,1010.0,72.0,1010.0,1005.0,2.19,152.0,3.38,30.0,802.0,Clouds,scattered clouds,Tarlac City,1.0,8152.0,2.3390538143110584
818,10000.0,121.5911,14.0289,27.16,31.08,27.16,27.16,1011.0,89.0,1011.0,989.0,3.68,32.0,8.42,94.0,804.0,Clouds,overcast clouds,Tayabas,2.0,2011004.0,2.3390538143110584
819,10000.0,123.6333,10.3833,29.05,35.56,28.89,29.05,1009.0,83.0,1009.0,1009.0,3.94,15.0,5.42,99.0,804.0,Clouds,overcast clouds,Toledo City,1.0,8187.0,2.3390538143110584
820,10000.0,121.7269,17.6131,25.33,25.98,25.33,25.33,1012.0,79.0,1012.0,1009.0,2.42,1.0,4.22,81.0,803.0,Clouds,broken clouds,Tuguegarao,1.4955972752948994,1015018.9393586975,2.3390538143110584
821,10000.0,120.5711,15.9761,27.31,29.69,27.31,27.31,1010.0,73.0,1010.0,1007.0,1.02,134.0,1.88,20.0,801.0,Clouds,few clouds,Urdaneta,1.4955972752948994,1015018.9393586975,2.3390538143110584
822,10000.0,124.5725,11.1089,26.38,26.38,26.38,26.38,1010.0,87.0,1010.0,1006.0,1.87,65.0,3.54,100.0,804.0,Clouds,overcast clouds,Valencia,1.4955972752948994,1015018.9393586975,2.3390538143110584
823,10000.0,120.9667,14.7,29.55,34.63,28.87,29.99,1011.0,73.0,1011.5388596412956,1003.3290800392612,1.34,7.0,5.81,48.0,802.0,Clouds,scattered clouds,Valenzuela,2.0,2008256.0,2.3390538143110584
824,10000.0,123.0778,10.9,28.15,32.81,28.15,28.15,1009.0,82.0,1009.0,1008.0,5.0,40.0,6.92,93.0,501.0,Rain,moderate rain,Victorias,1.4955972752948994,1015018.9393586975,2.73
825,10000.0,120.3869,17.5747,27.1,29.39,27.1,27.1,1011.0,74.0,1011.0,1009.0,0.54,172.0,0.74,11.0,801.0,Clouds,few clouds,Vigan,1.4955972752948994,1015018.9393586975,2.3390538143110584
826,10000.0,122.0696,6.9135,28.99,34.5,28.99,28.99,1008.0,79.0,1011.5388596412956,1003.3290800392612,2.06,60.0,4.517028376466673,20.0,801.0,Clouds,few clouds,Zamboanga City,1.0,8169.0,2.3390538143110584
827,10000.0,119.9811,16.1561,26.78,29.18,26.78,26.78,1011.0,79.0,1011.0,1009.0,2.83,81.0,3.46,18.0,801.0,Clouds,few clouds,Alaminos,1.4955972752948994,1015018.9393586975,2.3390538143110584
828,8000.0,120.5833,15.15,28.25,31.76,28.25,28.25,1012.0,74.0,1011.5388596412956,1003.3290800392612,1.03,290.0,4.517028376466673,75.0,803.0,Clouds,broken clouds,Angeles City,1.0,8152.0,2.3390538143110584
829,10000.0,121.19,15.6181,24.14,24.99,24.14,24.14,1012.0,91.0,1012.0,1003.0,2.09,71.0,3.21,55.0,803.0,Clouds,broken clouds,Antipolo,1.4955972752948994,1015018.9393586975,2.3390538143110584
830,10000.0,123.5085,12.2285,27.0,30.53,27.0,27.0,1010.0,88.0,1010.0,1009.0,4.82,54.0,9.22,86.0,804.0,Clouds,overcast clouds,Bacolod,1.4955972752948994,1015018.9393586975,2.3390538143110584
831,10000.0,120.929,14.459,27.85,32.32,27.28,28.35,1011.0,84.0,1011.5388596412956,1003.3290800392612,1.03,0.0,4.517028376466673,20.0,801.0,Clouds,few clouds,Bacoor,2.0,2005706.0,2.3390538143110584
832,10000.0,122.8333,10.5333,27.1,30.37,27.1,27.1,1009.0,84.0,1009.0,1009.0,3.7,35.0,5.78,88.0,804.0,Clouds,overcast clouds,Bago City,1.4955972752948994,1015018.9393586975,2.3390538143110584
833,10000.0,120.5931,16.4164,15.36,15.09,15.36,15.36,1014.0,82.0,1014.0,855.0,2.25,66.0,2.64,28.0,802.0,Clouds,scattered clouds,Baguio,1.4955972752948994,1015018.9393586975,2.3390538143110584
834,10000.0,123.1228,9.5911,27.99,34.43,27.99,27.99,1010.0,94.0,1010.0,1009.0,2.07,57.0,2.3,98.0,804.0,Clouds,overcast clouds,Bais,1.0,8185.0,2.3390538143110584
835,10000.0,120.5361,14.6761,27.03,29.81,27.03,27.85,1012.0,80.0,1012.0,1010.0,4.92,56.0,10.9,75.0,803.0,Clouds,broken clouds,Balanga,1.0,8151.0,2.3390538143110584
836,10000.0,120.5649,18.0554,24.88,25.59,24.88,24.88,1012.0,83.0,1011.5388596412956,1003.3290800392612,1.03,130.0,4.517028376466673,20.0,801.0,Clouds,few clouds,Batac City,1.0,8159.0,2.3390538143110584
837,10000.0,121.05,13.75,27.28,31.42,27.28,27.28,1011.0,89.0,1011.0,1010.0,3.26,72.0,4.8,100.0,804.0,Clouds,overcast clouds,Batangas City,2.0,2011004.0,2.3390538143110584
838,10000.0,122.8011,9.3636,25.44,26.49,25.44,25.44,1009.0,94.0,1009.0,1008.0,1.89,49.0,1.8,89.0,804.0,Clouds,overcast clouds,Bayawan,1.4955972752948994,1015018.9393586975,2.3390538143110584
839,10000.0,123.7135,13.4083,25.5,26.61,25.5,25.5,1011.0,96.0,1011.0,1011.0,2.37,54.0,4.2,100.0,804.0,Clouds,overcast clouds,Baybay,1.4955972752948994,1015018.9393586975,2.3390538143110584
840,10000.0,125.7675,8.7561,24.39,25.42,24.39,24.39,1011.0,97.0,1011.0,1002.0,1.54,42.0,1.6,100.0,804.0,Clouds,overcast clouds,Bayugan,1.4955972752948994,1015018.9393586975,2.3390538143110584
841,10000.0,125.0336,11.0725,24.78,25.77,24.78,24.78,1010.0,94.0,1010.0,1009.0,1.11,332.0,1.4,96.0,804.0,Clouds,overcast clouds,Bislig,1.4955972752948994,1015018.9393586975,2.3390538143110584
842,10000.0,121.0807,14.3427,27.91,32.64,27.27,28.34,1012.0,85.0,1011.5388596412956,1003.3290800392612,1.34,58.0,1.34,20.0,801.0,Clouds,few clouds,Biñan,2.0,2084056.0,2.3390538143110584
843,10000.0,124.0055,11.0517,28.15,32.48,28.15,28.15,1009.0,80.0,1009.0,1008.0,3.84,72.0,4.8,96.0,804.0,Clouds,overcast clouds,Bogo,1.4955972752948994,1015018.9393586975,2.3390538143110584
844,10000.0,125.4319,11.6081,25.18,26.34,25.18,25.18,1011.0,99.0,1011.0,1010.0,1.53,52.0,8.4,100.0,501.0,Rain,moderate rain,Borongan,1.4955972752948994,1015018.9393586975,2.19
845,10000.0,125.5436,8.9492,24.41,25.36,24.41,24.41,1009.0,94.0,1009.0,1009.0,1.18,122.0,1.87,100.0,502.0,Rain,heavy intensity rain,Butuan,1.4955972752948994,1015018.9393586975,4.38
846,10000.0,125.5344,9.1236,25.58,26.41,25.58,25.58,1009.0,85.0,1009.0,1008.0,1.6,96.0,1.6,100.0,501.0,Rain,moderate rain,Cabadbaran,1.4955972752948994,1015018.9393586975,2.94
